host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,188.138.33.32,cgpro-sip-100,5,DE,unknown,unknown,51.000000,9.000000,2016-01-31 07:35:19<br/>2016-02-03 13:27:59<br/>2016-02-04 16:05:53<br/>2016-02-06 14:19:24<br/>2016-02-06 19:01:00<br/>
ns1,81.30.156.126,cgpro-sip-100,3,DE,unknown,unknown,51.000000,9.000000,2016-01-31 20:27:54<br/>2016-02-06 01:24:46<br/>2016-02-06 19:00:59<br/>
ns1,89.163.219.3,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-01-31 18:34:52<br/>
ns1,151.236.63.183,cgpro-sip-100,2,GB,unknown,unknown,51.500000,-0.130000,2016-02-06 17:17:24<br/>2016-02-06 19:01:00<br/>
ns1,40.113.200.225,cgpro-sip-invite,3,US,Washington,Seattle,47.606201,-122.332100,2016-02-06 06:13:31<br/>2016-02-06 19:01:00<br/>2016-02-07 01:13:25<br/>
ns1,199.48.164.242,cgpro-sip-invite,1,US,Florida,Jacksonville,30.068899,-81.562103,2016-02-03 11:39:00<br/>
ns1,222.34.93.200,ssh,2,CN,Beijing,Beijing,39.928902,116.388298,2016-02-02 01:59:26<br/>2016-02-03 00:15:13<br/>
ns1,23.101.134.43,cgpro-sip-invite,3,US,District of Columbia,Washington,38.895100,-77.036400,2016-02-01 13:32:40<br/>2016-02-03 23:05:06<br/>2016-02-04 01:11:42<br/>
ns1,62.141.42.52,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 02:22:05<br/>
ns1,5.79.69.72,cgpro-sip-100,3,NL,Noord-Holland,Amsterdam,52.374001,4.889700,2016-01-31 17:06:54<br/>2016-02-02 05:04:16<br/>2016-02-05 17:09:41<br/>
ns1,217.23.11.166,cgpro-sip-invite,1,NL,unknown,unknown,52.366699,4.900000,2016-02-04 13:34:58<br/>
ns1,85.25.43.110,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-02-06 12:00:13<br/>2016-02-06 19:00:59<br/>
ns1,5.28.152.253,ssh,2,IL,unknown,unknown,31.500000,34.750000,2016-01-31 09:58:49<br/>2016-02-01 00:15:11<br/>
ns1,199.168.137.195,cgpro-sip-100,1,US,Pennsylvania,Clarks Summit,41.448601,-75.727997,2016-02-04 02:06:17<br/>
ns1,199.168.137.195,cgpro-sip-invite,4,US,Pennsylvania,Clarks Summit,41.448601,-75.727997,2016-02-05 02:15:14<br/>2016-02-06 01:19:18<br/>2016-02-06 19:01:00<br/>2016-02-07 01:35:34<br/>
ns1,185.93.187.23,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-01 21:34:21<br/>2016-02-02 00:16:13<br/>
ns1,62.210.188.100,cgpro-sip-invite,4,FR,unknown,unknown,48.860001,2.350000,2016-02-05 13:53:59<br/>2016-02-06 01:22:14<br/>2016-02-06 19:01:00<br/>2016-02-07 01:09:25<br/>
ns1,198.204.234.74,cgpro-sip-100,1,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-05 22:06:18<br/>
ns1,5.189.154.180,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-05 16:38:03<br/>
ns1,89.163.152.91,recidive,2,DE,unknown,unknown,51.000000,9.000000,2016-02-02 14:17:55<br/>2016-02-03 00:15:13<br/>
ns1,89.163.152.91,ssh,6,DE,unknown,unknown,51.000000,9.000000,2016-02-02 13:27:09<br/>2016-02-02 13:39:52<br/>2016-02-02 13:52:36<br/>2016-02-02 14:05:09<br/>2016-02-02 14:17:53<br/>2016-02-03 00:15:13<br/>
ns1,23.239.66.99,cgpro-sip-100,7,US,unknown,unknown,38.000000,-97.000000,2016-02-01 10:09:36<br/>2016-02-02 09:59:57<br/>2016-02-03 10:35:35<br/>2016-02-04 10:32:21<br/>2016-02-05 12:14:39<br/>2016-02-06 18:44:04<br/>2016-02-06 19:00:59<br/>
ns1,186.46.83.139,cgpro-sip-100,1,EC,Pichincha,Quito,-0.216700,-78.500000,2016-02-04 14:49:35<br/>
ns1,82.231.36.60,ssh,1,FR,Alsace,Schiltigheim,48.607498,7.749300,2016-02-05 05:41:20<br/>
ns1,209.126.122.98,cgpro-sip-invite,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 03:13:09<br/>2016-02-04 05:02:45<br/>
ns1,202.114.72.243,ssh,3,CN,Hubei,Wuhan,30.580099,114.273399,2016-02-05 22:45:26<br/>2016-02-06 00:15:16<br/>2016-02-06 19:00:15<br/>
ns1,209.126.101.30,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 09:57:46<br/>
ns1,66.194.155.194,cgpro-smtp,10,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 01:12:00<br/>2016-02-01 01:27:10<br/>2016-02-01 01:42:21<br/>2016-02-01 01:57:35<br/>2016-02-01 02:12:52<br/>2016-02-03 01:04:59<br/>2016-02-03 01:20:16<br/>2016-02-03 01:35:36<br/>2016-02-03 01:51:00<br/>2016-02-03 02:06:10<br/>
ns1,66.194.155.194,recidive,4,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 02:12:55<br/>2016-02-02 00:15:12<br/>2016-02-03 02:06:12<br/>2016-02-04 00:15:15<br/>
ns1,23.239.65.210,cgpro-sip-100,2,US,unknown,unknown,38.000000,-97.000000,2016-02-01 10:06:03<br/>2016-02-02 10:57:31<br/>
ns1,59.63.188.44,ssh,2,CN,Jiangxi,Nanchang,28.549999,115.933296,2016-02-03 23:46:21<br/>2016-02-04 00:16:16<br/>
ns1,199.115.117.4,cgpro-sip-100,2,US,Virginia,Manassas,38.793201,-77.536598,2016-02-03 03:00:32<br/>2016-02-06 19:04:02<br/>
ns1,85.25.217.79,ssh,2,DE,unknown,unknown,51.000000,9.000000,2016-02-03 22:52:28<br/>2016-02-04 00:16:16<br/>
ns1,69.4.81.178,cgpro-sip-100,3,US,New York,Buffalo,42.888401,-78.876099,2016-02-05 10:26:41<br/>2016-02-06 08:41:26<br/>2016-02-06 19:00:59<br/>
ns1,61.182.227.182,ssh,2,CN,Hebei,Hebei,39.889702,115.275002,2016-02-05 17:29:55<br/>2016-02-06 00:15:16<br/>
ns1,209.126.102.145,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:52:21<br/>
ns1,130.193.124.184,ssh,2,AM,unknown,unknown,40.000000,45.000000,2016-02-04 13:15:51<br/>2016-02-05 00:15:16<br/>
ns1,94.242.222.90,cgpro-sip-100,2,LU,unknown,unknown,49.750000,6.166700,2016-02-02 15:08:13<br/>2016-02-03 10:57:23<br/>
ns1,185.40.4.30,cgpro-sip-invite,7,RU,unknown,unknown,55.750000,37.616600,2016-02-02 01:48:05<br/>2016-02-03 01:12:53<br/>2016-02-04 01:06:17<br/>2016-02-05 01:16:47<br/>2016-02-06 01:09:04<br/>2016-02-06 19:01:00<br/>2016-02-07 01:01:04<br/>
ns1,188.138.33.144,cgpro-sip-100,3,DE,unknown,unknown,51.000000,9.000000,2016-02-03 04:24:30<br/>2016-02-04 17:59:12<br/>2016-02-05 13:53:33<br/>
ns1,159.203.22.163,recidive,1,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-07 00:34:33<br/>
ns1,159.203.22.163,ssh,5,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-06 23:41:12<br/>2016-02-06 23:57:21<br/>2016-02-07 00:11:53<br/>2016-02-07 00:15:18<br/>2016-02-07 00:34:31<br/>
ns1,89.163.140.227,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-04 10:04:02<br/>
ns1,209.126.102.190,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-03 02:09:08<br/>2016-02-04 04:24:57<br/>
ns1,118.102.202.131,recidive,2,IN,Maharashtra,Pune,18.533300,73.866699,2016-01-31 22:03:08<br/>2016-02-01 00:15:11<br/>
ns1,118.102.202.131,cgpro-smtp,5,IN,Maharashtra,Pune,18.533300,73.866699,2016-01-31 21:21:24<br/>2016-01-31 21:31:33<br/>2016-01-31 21:41:41<br/>2016-01-31 21:51:49<br/>2016-01-31 22:03:06<br/>
ns1,209.126.117.99,cgpro-sip-100,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 03:35:27<br/>2016-02-06 12:58:51<br/>2016-02-06 19:00:59<br/>2016-02-07 03:04:32<br/>
ns1,24.41.142.229,cgpro-smtp,1,PR,unknown,Vega Baja,18.418301,-66.393204,2016-02-04 15:01:51<br/>
ns1,209.126.124.208,cgpro-sip-invite,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:08:57<br/>2016-02-02 01:09:42<br/>2016-02-03 01:31:10<br/>2016-02-04 01:01:16<br/>2016-02-05 01:22:30<br/>
ns1,187.52.26.216,cgpro-smtp,3,BR,unknown,unknown,-23.547701,-46.635799,2016-01-31 13:30:28<br/>2016-02-01 22:16:57<br/>2016-02-03 07:04:46<br/>
ns1,85.25.237.38,cgpro-sip-invite,4,DE,unknown,unknown,51.000000,9.000000,2016-01-31 19:29:20<br/>2016-02-01 01:07:11<br/>2016-02-02 01:01:34<br/>2016-02-03 19:25:27<br/>
ns1,89.163.144.209,cgpro-sip-invite,2,DE,unknown,unknown,51.000000,9.000000,2016-02-02 01:50:43<br/>2016-02-04 03:00:40<br/>
ns1,119.146.221.68,ssh,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-04 07:39:37<br/>
ns1,85.17.28.69,cgpro-sip-100,2,NL,Noord-Holland,Amsterdam,52.374001,4.889700,2016-02-03 17:02:06<br/>2016-02-04 11:51:31<br/>
